player_name_urdu,player_name_english,price_urdu,price_numeric_raw,price_numeric,price_crore,price_lakh,price_category,price_rank
نسیم شاہ,Naseem Shah,8 کروڑ 65 لاکھ روپے,86500000,86500000,8.65,865.0,🏆 Ultra Premium (≥ 7 Cr),1
فہیم اشرف,Faheem Ashraf,8 کروڑ 50 لاکھ روپے,85000000,85000000,8.5,850.0,🏆 Ultra Premium (≥ 7 Cr),2
ڈیرل مچل,Daryl Mitchell,8 کروڑ 5 لاکھ روپے,80500000,80500000,8.05,805.0,🏆 Ultra Premium (≥ 7 Cr),3
فخر زمان,Fakhar Zaman,7 کروڑ 95 لاکھ روپے,79500000,79500000,7.95,795.0,🏆 Ultra Premium (≥ 7 Cr),4
ڈیوڈ وارنر,David Warner,7 کروڑ 90 لاکھ روپے,79000000,79000000,7.9,790.0,🏆 Ultra Premium (≥ 7 Cr),5
حارث رؤف,Haris Rauf,7 کروڑ 60 لاکھ روپے,76000000,76000000,7.6,760.0,🏆 Ultra Premium (≥ 7 Cr),6
خواجہ نافع,Khawaja Nafay,6 کروڑ 50 لاکھ روپے,65000000,65000000,6.5,650.0,⭐ Premium (5–7 Cr),7
سلمان علی آغا,Salman Ali Agha,5 کروڑ 85 لاکھ روپے,58500000,58500000,5.85,585.0,⭐ Premium (5–7 Cr),8
صاحبزادہ فرحان,Sahibzada Farhan,5 کروڑ 70 لاکھ روپے,57000000,57000000,5.7,570.0,⭐ Premium (5–7 Cr),9
رائیلی روسو,Rilee Rossouw,5 کروڑ 55 لاکھ روپے,55500000,55500000,5.55,555.0,⭐ Premium (5–7 Cr),10
محمد عامر,Mohammad Amir,5 کروڑ 40 لاکھ روپے,54000000,54000000,5.4,540.0,⭐ Premium (5–7 Cr),11
اسامہ میر,Usama Mir,3 کروڑ 50 لاکھ روپے,35000000,35000000,3.5,350.0,📊 Medium (2–5 Cr),12
اعظم خان,Azam Khan,3 کروڑ 25 لاکھ روپے,32500000,32500000,3.25,325.0,📊 Medium (2–5 Cr),13
کوشال پریرا,Kusal Perera,3 کروڑ 10 لاکھ روپے,31000000,31000000,3.1,310.0,📊 Medium (2–5 Cr),14
رشاد حسین,Rishad Hossain,3 کروڑ روپے,30000000,30000000,3.0,300.0,📊 Medium (2–5 Cr),15
خرم شہزاد,Khurram Shahzad,2 کروڑ 70 لاکھ روپے,27000000,27000000,2.7,270.0,📊 Medium (2–5 Cr),16
عبید شاہ,Ubaid Shah,2 کروڑ 70 لاکھ روپے,27000000,27000000,2.7,270.0,📊 Medium (2–5 Cr),16
جہانداد خان,Jahandad Khan,2 کروڑ 50 لاکھ روپے,25000000,25000000,2.5,250.0,📊 Medium (2–5 Cr),18
محمد حارث,Mohammad Haris,2 کروڑ 20 لاکھ روپے,22000000,22000000,2.2,220.0,📊 Medium (2–5 Cr),19
محمد علی,Mohammad Ali,2 کروڑ 15 لاکھ روپے,21500000,21500000,2.15,215.0,📊 Medium (2–5 Cr),20
میکس برائنٹ,Max Bryant,1 کروڑ 95 لاکھ روپے,19500000,19500000,1.95,195.0,📈 Entry (< 2 Cr),21
عامر جمال,Aamer Jamal,1 کروڑ 90 لاکھ روپے,19000000,19000000,1.9,190.0,📈 Entry (< 2 Cr),22
مہران ممتاز,Mehran Mumtaz,1 کروڑ 25 لاکھ روپے,12500000,12500000,1.25,125.0,📈 Entry (< 2 Cr),23
فیصل اکرم,Faisal Akram,1 کروڑ 25 لاکھ روپے,12500000,12500000,1.25,125.0,📈 Entry (< 2 Cr),23
عرفات منہاس,Arafat Minhas,1 کروڑ 10 لاکھ روپے,11000000,11000000,1.1,110.0,📈 Entry (< 2 Cr),25
حسیب اللہ خان,Haseebullah Khan,1 کروڑ 10 لاکھ روپے,11000000,11000000,1.1,110.0,📈 Entry (< 2 Cr),25
جہانزیب سلطان,Jahanzeb Sultan,60 لاکھ روپے,6000000,6000000,0.6,60.0,📈 Entry (< 2 Cr),27
