Rank,Player (English),Player (Urdu),Price (PKR),Price (Crore),Price (USD Est),Tier,Value Percentile,Z-Score,Is Outlier
1,Naseem Shah,نسیم شاہ,86500000.0,8.65,308928.5714285714,Elite (80M+),1.0,1.6870632385153335,False
2,Faheem Ashraf,فہیم اشرف,85000000.0,8.5,303571.4285714286,Elite (80M+),0.9629629629629629,1.6308971380962038,False
3,Daryl Mitchell,ڈیرل مچل,80500000.0,8.05,287500.0,Elite (80M+),0.9259259259259259,1.4623988368388154,False
4,Fakhar Zaman,فخر زمان,79500000.0,7.95,283928.5714285714,Premium (70-80M),0.8888888888888888,1.4249547698927292,False
5,David Warner,ڈیوڈ وارنر,79000000.0,7.9,282142.85714285716,Premium (70-80M),0.8518518518518519,1.406232736419686,False
6,Haris Rauf,حارث رؤف,76000000.0,7.6,271428.5714285714,Premium (70-80M),0.8148148148148148,1.293900535581427,False
7,Khawaja Nafay,خواجہ نافع,65000000.0,6.5,232142.85714285713,High (50-70M),0.7777777777777778,0.8820157991744776,False
8,Salman Ali Agha,سلمان علی آغا,58500000.0,5.85,208928.57142857142,High (50-70M),0.7407407407407407,0.6386293640249165,False
9,Sahibzada Farhan,صاحبزادہ فرحان,57000000.0,5.7,203571.42857142858,High (50-70M),0.7037037037037037,0.582463263605787,False
10,Rilee Rossouw,رائیلی روسو,55500000.0,5.55,198214.2857142857,High (50-70M),0.6666666666666666,0.5262971631866575,False
11,Mohammad Amir,محمد عامر,54000000.0,5.4,192857.14285714287,High (50-70M),0.6296296296296297,0.4701310627675281,False
12,Usama Mir,اسامہ میر,35000000.0,3.5,125000.0,Mid (30-50M),0.5925925925925926,-0.24130620920811194,False
13,Azam Khan,اعظم خان,32500000.0,3.25,116071.42857142857,Mid (30-50M),0.5555555555555556,-0.33491637657332773,False
14,Kusal Perera,کوشال پریرا,31000000.0,3.1,110714.28571428571,Mid (30-50M),0.5185185185185185,-0.3910824769924572,False
15,Rishad Hossain,رشاد حسین,30000000.0,3.0,107142.85714285714,Mid (30-50M),0.48148148148148145,-0.4285265439385435,False
16,Khurram Shahzad,خرم شہزاد,27000000.0,2.7,96428.57142857143,Low (15-30M),0.42592592592592593,-0.5408587447768025,False
16,Ubaid Shah,عبید شاہ,27000000.0,2.7,96428.57142857143,Low (15-30M),0.42592592592592593,-0.5408587447768025,False
18,Jahandad Khan,جہانداد خان,25000000.0,2.5,89285.71428571429,Low (15-30M),0.37037037037037035,-0.6157468786689752,False
19,Mohammad Haris,محمد حارث,22000000.0,2.2,78571.42857142857,Low (15-30M),0.3333333333333333,-0.728079079507234,False
20,Mohammad Ali,محمد علی,21500000.0,2.15,76785.71428571429,Low (15-30M),0.2962962962962963,-0.7468011129802772,False
21,Max Bryant,میکس برائنٹ,19500000.0,1.95,69642.85714285714,Low (15-30M),0.25925925925925924,-0.8216892468724498,False
22,Aamer Jamal,عامر جمال,19000000.0,1.9,67857.14285714286,Low (15-30M),0.2222222222222222,-0.8404112803454931,False
23,Mehran Mumtaz,مہران ممتاز,12500000.0,1.25,44642.857142857145,Budget (<15M),0.16666666666666666,-1.083797715495054,False
23,Faisal Akram,فیصل اکرم,12500000.0,1.25,44642.857142857145,Budget (<15M),0.16666666666666666,-1.083797715495054,False
25,Arafat Minhas,عرفات منہاس,11000000.0,1.1,39285.71428571428,Budget (<15M),0.09259259259259259,-1.1399638159141836,False
25,Haseebullah Khan,حسیب اللہ خان,11000000.0,1.1,39285.71428571428,Budget (<15M),0.09259259259259259,-1.1399638159141836,False
27,Jahanzeb Sultan,جہانزیب سلطان,6000000.0,0.6,21428.571428571428,Budget (<15M),0.037037037037037035,-1.3271841506446151,False
